"measurement_id","location_id","pm25","recorded_at","AQI"
"123","2162178","26.33","2024-10-25 21:08:07","83"
"124","1590755","1.23","2024-10-25 21:09:08","7"
"125","8118","47","2024-10-25 21:10:09","129"
"126","225617","44.2","2024-10-25 21:11:10","122"
"127","1214722","19","2024-10-25 21:12:10","69"
"128","9466","6.93","2024-10-25 21:13:11","38"
"129","1324","11.9","2024-10-25 22:06:22","56"
"130","589967","4.2","2024-10-25 22:07:23","23"
"131","2162178","24.09","2024-10-25 22:08:24","79"
"132","1590755","0.94","2024-10-25 22:09:25","5"
"133","8118","66","2024-10-25 22:10:26","158"
"134","225617","44.2","2024-10-25 22:11:27","122"
"135","1214722","15","2024-10-25 22:12:28","62"
"136","9466","6.85","2024-10-25 22:13:29","38"
"137","1324","9.1","2024-10-25 23:06:11","51"
"138","589967","6.3","2024-10-25 23:07:12","35"
"139","2162178","21.87","2024-10-25 23:08:12","75"
"140","1590755","0.8","2024-10-25 23:09:13","4"
"141","8118","66","2024-10-25 23:10:14","158"
"142","225617","44.2","2024-10-25 23:11:15","122"
"143","1214722","15","2024-10-25 23:12:16","62"
"144","9466","6.93","2024-10-25 23:13:17","38"
"145","1324","8.4","2024-10-26 00:06:06","47"
"146","589967","6.1","2024-10-26 00:07:07","34"
"147","2162178","20.11","2024-10-26 00:08:08","72"
"148","1590755","1.37","2024-10-26 00:09:09","8"
"149","8118","84","2024-10-26 00:10:10","171"
"150","225617","44.2","2024-10-26 00:11:10","122"
"151","1214722","15","2024-10-26 00:12:11","62"
"152","9466","6.75","2024-10-26 00:13:12","37"
"153","1324","8.8","2024-10-26 01:06:05","49"
"154","589967","7.1","2024-10-26 01:07:06","39"
"155","2162178","18.94","2024-10-26 01:08:07","69"
"156","1590755","2.32","2024-10-26 01:09:08","13"
"157","8118","86","2024-10-26 01:10:09","172"
"158","225617","44.2","2024-10-26 01:11:10","122"
"159","1214722","8","2024-10-26 01:12:11","44"
"160","9466","6.52","2024-10-26 01:13:12","36"
"161","1324","10.4","2024-10-26 02:06:06","53"
"162","589967","7.4","2024-10-26 02:07:07","41"
"163","2162178","19.57","2024-10-26 02:08:08","71"
"164","1590755","3.51","2024-10-26 02:09:08","19"
"165","8118","90","2024-10-26 02:10:09","175"
"166","225617","44.2","2024-10-26 02:11:10","122"
"167","1214722","9","2024-10-26 02:12:11","50"
"168","9466","6.75","2024-10-26 02:13:11","37"
"169","1324","10.4","2024-10-26 02:20:12","53"
"170","589967","7.4","2024-10-26 02:21:12","41"
"171","2162178","19.57","2024-10-26 02:22:12","71"
"172","1590755","3.51","2024-10-26 02:23:12","19"
"173","8118","90","2024-10-26 02:24:12","175"
"174","225617","44.2","2024-10-26 02:25:12","122"
"175","1214722","9","2024-10-26 02:26:12","50"
"176","9466","6.75","2024-10-26 02:27:12","37"
"177","1324","11.6","2024-10-26 03:06:06","56"
"178","589967","8.5","2024-10-26 03:07:07","47"
"179","2162178","22.38","2024-10-26 03:08:08","76"
"180","1590755","3.53","2024-10-26 03:09:09","20"
"181","8118","100","2024-10-26 03:10:10","182"
